wkt_geom,No,ST_NAME,ST_CODE,Control_og,BS_CODE,Gage_type,River_syst,A(km2),section_le,Slope,Out_len(km,thres_len(,Zero(EL.m),Zero_st(EL,Ebb_effect,Max_el(m),Time_Sirie,Daily_Siri,Longitude,Latitude,Latitude_d,Longitude_,X,Y
POINT(255789.53967981936875731 579932.60456897679250687),82,Gangchon,1013645,MOLIT,101304,T/M,Hangang,7844.9,,,64.3,0,52.497,74.669,N,20,1992Y 06M?~ 2013Y 09M,1992Y 10M?~ 2013Y 09M,127.6336111,37.8175,127-38-01,37-49-03,255789.54,579932.605
POINT(245606.23757246331661008 581411.4905069530941546),84,Gapyeong,1013655,MOLIT,101306,T/M,Hangang,305.12,,,1.15,39.2,51.83,59.901,N,8,1923Y 07M?~ 2013Y 09M,1915Y 01M?~ 2013Y 09M,127.5180556,37.83138889,127-31-05,37-49-53,245606.238,581411.491
POINT(293462.5970952280331403 579719.26098035287577659),85,Yongsun,1014620,MOLIT,101402,T/M,Hangang,327.5,,,10.16,,185.694,191.891,N,7,2009Y 10M?~ 2013Y 09M,2009Y 10M?~ 2013Y 09M,128.0613889,37.8125,128-03-41,37-48-45,293462.597,579719.261
POINT(286621.84731498011387885 576529.98333642038051039),86,Hwachon,1014630,MOLIT,101404,T/M,Hangang,523.2,,,82.85,0,152.147,167.673,N,10,1989Y 03M?~ 2013Y 09M,1989Y 01M?~ 2013Y 09M,127.9833333,37.78444444,127-59-00,37-47-04,286621.847,576529.983
POINT(282953.27258590975543484 571435.23585237609222531),88,Gyulwun,1014640,MOLIT,101406,T/M,Hangang,724.89,,,72.72,,131.685,141.94,N,8,2007Y 05M?~ 2013Y 09M,2007Y 05M?~ 2013Y 09M,127.9411111,37.73888889,127-56-28,37-44-20,282953.273,571435.236
POINT(277498.24764384177979082 565616.1433959431014955),90,Hongcheon,1014650,MOLIT,101408,T/M,Hangang,879.14,151,1340,64.26,78.5,119.731,128.596,N,9,1965Y 07M?~ 2013Y 09M,1962Y 11M?~ 2013Y 09M,127.8786111,37.68694444,127-52-43,37-41-13,277498.248,565616.143
POINT(259165.57891806191764772 566204.58519225555937737),91,Seomyeon,1014680,MOLIT,101412,T/M,Hangang,1325.36,320,,27.1,110,68.288,77.547,N,8,1982Y 06M?~ 2013Y 09M,1984Y 01M?~ 2013Y 09M,127.6708333,37.69361111,127-40-15,37-41-37,259165.579,566204.585
POINT(253399.24374711909331381 563760.38591275864746422),93,Mogok,1014696,MOLIT,101414,T/M,Hangang,86.51,,,0.87,,58.438,64.023,N,3.7,2011Y 12M?~ 2013Y 09M,2011Y 12M?~ 2013Y 09M,127.6052778,37.67194444,127-36-19,37-40-19,253399.244,563760.386
POINT(237248.28168962654308416 569375.72705712751485407),94,Cheongpyeongdam,1015640,MOLIT,101502,T/M,Hangang,10028.57,,,29.99,,0.67,55.441,N,52,1975Y 07M?~ 2013Y 09M,1967Y 01M?~ 2013Y 09M,127.4225,37.72333333,127-25-21,37-43-24,237248.282,569375.727
POINT(236557.38588838709983975 570544.24533223267644644),95,Jojong,1015644,MOLIT,101504,T/M,Hangang,254.88,,,1.9,,31.222,40.789,N,8,2006Y 12M?~ 2013Y 09M,2006Y 11M?~ 2013Y 09M,127.4147222,37.73388889,127-24-53,37-44-02,236557.386,570544.245
POINT(234975.72894503391580656 568194.1856248650001362),96,Cheongpyeong,1015645,MOLIT,101506,T/M,Hangang,10300.89,384,730,20.3,207.8,22.417,39.884,N,16,1917Y 09M?~ 2013Y 09M,1914Y 11M?~ 2013Y 09M,127.3966667,37.71277778,127-23-48,37-42-46,234975.729,568194.186
POINT(221195.66569118632469326 525910.0573785356245935),98,WolChon,1016607,MOLIT,101602,T/M,Hangang,149.1,,,23.54,,49.553,56.745,N,5.39,2012Y 09M?~ 2013Y 09M,2012Y 09M?~ 2013Y 09M,127.2391667,37.33222222,127-14-21,37-19-56,221195.666,525910.057
POINT(223289.83709517517127097 534147.06388498679734766),99,Gyeongan,1016650,MOLIT,101603,T/M,Hangang,509.4,,,12,0,34.106,42.356,N,8,,,127.2630556,37.40638889,127-15-47,37-24-23,223289.837,534147.064
POINT(225923.80945284591871314 533353.2553816115250811),100,Dopyeong,1016660,MOLIT,101604,T/M,Hangang,138.36,,,3.03,0,36.123,45.626,N,7,2002Y 06M?~ 2013Y 09M,2001Y 02M?~ 2013Y 09M,127.2927778,37.39916667,127-17-34,37-23-57,225923.809,533353.255
POINT(226021.77272340160561725 541369.30799641425255686),101,Gwangdong,1016695,MOLIT,101605,T/M,Hangang,551.39,,,3.32,,-0.057,32.321,N,30.5,2006Y 12M?~ 2013Y 09M,2006Y 12M?~ 2013Y 09M,127.2941667,37.47138889,127-17-39,37-28-17,226021.773,541369.308
POINT(221135.03384177011321299 549802.91140585066750646),103,Paldangdaegyo,1018610,MOLIT,101801,T/M,Hangang,23812.6,500,,82.3,0,5.571,19.472,N,25,1994Y 12M?~ 2013Y 09M,1994Y 01M?~ 2013Y 09M,127.2391667,37.5475,127-14-21,37-32-51,221135.034,549802.911
POINT(217236.53783954062964767 571190.39082989585585892),104,Bupyeong,1018620,MOLIT,101802,T/M,Hangang,95.35,,,20.88,0,56.285,62.113,N,5,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,127.1955556,37.74027778,127-11-44,37-44-25,217236.538,571190.391
POINT(216067.85236850989167579 567827.44543497171252966),105,Yeonpyeong,1018623,MOLIT,101802,T/M,Hangang,25.62,,,0.6,0,44.501,49.048,N,4,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,127.1822222,37.71,127-10-56,37-42-36,216067.852,567827.445
